编号,句子,实体1a,实体1b
3826,报道称，“海豹”突击队在夏威夷的训练需求呈指数级增长。截至目前，每年在夏威夷进行约100次训练，其中大都是潜水训练。然而特种作战司令部已要求在2019年进行330次演习，大部分演习将是伞降渗透，然后进行海上作战。,“海豹”突击队,演习
3858,火箭军战略导弹部队地下坑道训练,火箭军战略导弹部队,地下坑道训练
3888,【环球网军事报道】正在挪威空军忙着驾驶新到货的F-35隐身战机进行训练之际，部署该战机的奥兰多军事基地附近却出现了一件闹心的事，一座“鬼城”突然出现在了基地的周边。,奥兰多军事基地,F-35隐身战机
3889,据挪威当地的DR电视台报道，部署F-35战斗机的奥兰多基地附近居民正饱受该战机的巨大噪音的困扰，挪威军方不得不出资10亿丹麦克朗（约合10.3亿元人民币）“请”奥兰多基地附近的居民搬走。,奥兰多基地,F-35战斗机
3890,挪威最新到货的F-35战斗机,挪威,F-35战斗机
3891,报道称，奥兰多基地之前部署的是F-16战斗机，近40年来居民们已经适应了这种战斗机的噪音影响。而当发动机推力更大的F-35隐身战机部署于此之后，巨大的噪音问题已让民众们无法忍受。当F-35战斗机飞过时，巨大的噪音甚至会传到人的胃部，并使得屋里的吊灯摇晃、玻璃震动。一位接受电视台采访的当地居民，用摩托车来形容了F-35和F-16战斗机的噪音差别，他解释称F-16战机的噪音就像本田或铃木摩托车，而F-35简直就是哈雷摩托，它的声音更大、是一种更粗糙、更暴力的声音。,奥兰多基地,F-16战斗机
3898,截至目前挪威空军已经接装了16架F-35战斗机，而这一数字未来还会继续增加，该战机带来的噪音问题在未来和可能还会继续扩大。据最新的统计数据显示，截止到2019年1月，全球已经服役的F-35战斗机共有352架，但不少国家在装备这款先进隐身战斗机的时候都出现了意料之外的情况。,挪威空军,16架F-35战斗机
3900,澳大利亚空军到货的F-35A战斗机,澳大利亚空军,F-35A战斗机
3901,例如澳大利亚在接收首批两架F-35战斗机后就发现，该机隐形涂料在澳极度干燥与炎热气候下，可能维持不了多久就需更换。报道称由于涂料耗损情况高于预期，最极端的情况可能每飞行一次就得重涂。F-35战机的隐形涂料非常精密，稍微的刮痕可能就足以让雷达侦测到战斗机的行踪。制造商洛克希德马丁公司发言人坦承，这方面的技术瓶颈仍待克服。,澳大利亚,两架F-35战斗机
3904,美国海军装备的P-8A反潜巡逻机,美国海军,P-8A反潜巡逻机
3905,【环球时报综合报道】美澳军队目前正在进行2019“海龙”军演。据美国《海军时报》20日报道，这一锻炼反潜战能力的年度军演今年在关岛安德森空军基地举行。,美澳军队,2019“海龙”军演
3906,据报道，此次演习开始于1月14日，25日结束。美军此次派出4架P-8A反潜机，澳大利亚空军派出1架P-8A反潜机进行作战演练，他们在演习期间将得到联合机动战术作战中心的支持。“海龙”军演侧重的是对目标的协同打击能力。此次美澳反潜机将针对实际和模拟目标进行演练，包括“洛杉矶”级核动力攻击潜艇。,“洛杉矶”级核动力攻击潜艇,演习
3907,负责此次军演的美军第七舰队埃里克森上校表示，除了反潜训练，美澳军方还有机会强化作战杀伤力。第七舰队的新闻稿称，“海龙”军演是为了彰显美国及其伙伴已经做好准备，确保航行自由以及国际法允许的商业流动自由。埃里克森还表示，在今后的“海龙”军演中，参加国将覆盖到美国的其他盟友和伙伴。▲（任 重）,美澳军方,“海龙”军演
3909,运抵叙利亚的俄制S-300防空导弹系统,叙利亚,俄制S-300防空导弹系统
3910,【环球时报综合报道】当地时间周一凌晨，叙利亚大马士革附近再次传出爆炸声。以色列军方此次毫不讳言对叙利亚境内目标进行了空袭，而叙利亚方面则宣称击落大部分来袭导弹。分析指出，这可能是俄罗斯向叙利亚方面交付S-300后，以方对叙利亚发动的最大规模空袭。那么，叙以双方，谁是这次行动的胜利者？S-300又扮演了什么角色呢？,俄罗斯,S-300
3911,俄罗斯“今日经济”网21日报道称，俄罗斯军事专家称，叙利亚防空系统击退以色列攻击是由于俄罗斯帮助该国建立了完善的梯次配置防空系统。俄罗斯空军前副司令比热夫称，以色列此次攻击是在俄向叙利亚提供S-300防空系统后对叙利亚防空系统的一种试探。采取打击行动的以色列战机在叙利亚防空火力毁伤区域之外，对叙利亚防空系统区域发射精确制导导弹。当叙利亚防空系统进行拦截时，西方飞机上的无线电电子系统对其数据进行记录。因此，这是以色列进行的一次侦察性攻击，以便找出叙利亚防空系统的薄弱环节。,以色列战机,精确制导导弹
3912,一位不愿透露姓名的中国军事专家对《环球时报》记者表示，从各方报道来看，这次空袭很可能是在俄罗斯向叙利亚交付S-300后，以色列对叙利亚境内目标采取的规模最大的空袭行动。以色列方面很可能采取了以防区外导弹打击为主的战术，而且主要目标选择为伊朗部队的军事设施。以色列军机总体上距离叙利亚较远，战机可能没有大规模越境打击。这种打击的优势在于不必让以方战机处于危险之中，同时减少保障飞机，降低了行动组织上的复杂性。,俄罗斯,S-300
3914,专家表示，从交付时间来判断，叙利亚的S-300防空导弹系统目前很可能由俄罗斯军方操纵和保障，叙利亚相关人员仍处于培训状态。同时，以色列方面由于忌惮俄军方，很可能并未针对这些防空系统。,俄罗斯军方,S-300防空导弹系统
3915,俄国家新闻社21日报道称，俄防空部队博物馆馆长、退役上校克努托夫表示，这一空袭行动表明，叙利亚防空系统需要进一步完善，现在主要问题是叙利亚未能击落发射巡航导弹和制导炸弹的载具，这样以色列的F-16战机将继续执行类似行动。叙军装备的S-300防空导弹系统投入作战行动后，叙军利用该系统将可能击落在地中海和黎巴嫩上空的以军F-16战机。,以色列,F-16战机
3918,俄罗斯研制的铠甲S1弹炮合一防空系统,俄罗斯,铠甲S1弹炮合一防空系统
3919,【环球时报综合报道】当地时间周一凌晨，叙利亚大马士革附近再次传出爆炸声。以色列军方此次毫不讳言对叙利亚境内目标进行了空袭，而叙利亚方面则宣称击落大部分来袭导弹。分析指出，这可能是俄罗斯向叙利亚方面交付S-300后，以方对叙利亚发动的最大规模空袭。那么，叙以双方，谁是这次行动的胜利者？S-300又扮演了什么角色呢？,俄罗斯,S-300
3920,针对以色列的空袭，叙利亚方面则声称击落大部分来袭目标。俄罗斯卫星网21日报道称，叙利亚军方消息人士表示，以色列1月21日凌晨使用导弹从空中和地面对大马士革发起密集打击，叙防空部队成功击落其中大部分目标。当地时间21日凌晨，1时10分至2时在大马士革可以听到剧烈爆炸声。该消息人士称，大部分导弹在抵达目标前被击落。报道称，叙利亚国家电视台援引记者的消息称，防空部队击落“数十个”以色列目标。该电视台指出，攻击中使用了各种类型的武器。该电视台记者称，导弹是从黎巴嫩领空以及以色列加利利地区的北部和太巴列湖地区发射的。,叙防空部队,大部分目标
3921,而路透社称，俄罗斯国际文传电讯社引用俄防空控制中心的数据称，叙利亚军方的防空系统击落超过30枚巡航导弹和制导炸弹。报道还称，之前以色列针对大马士革东南机场的空袭，导致4名叙利亚军人阵亡，6人受伤。,叙利亚军方的防空系统,巡航导弹和制导炸弹
3922,俄“自由媒体”21日报道称，在此次对抗以色列打击时，俄向叙提供的“山毛榉”和“铠甲”防空系统发挥了主导作用。俄罗斯共向叙利亚提供约40套“铠甲”弹炮合一防空系统。“铠甲-S1”系统主要拦截低空目标，它在20公里范围内能够有效击中目标。“山毛榉”防空系统是在苏联时期提供的，但后来俄将该导弹系统更新为更先进的“山毛榉-M2E”防空系统，它配备的防空导弹可打击高度为15米至25公里的目标，射程为45公里。在此次行动中，没有消息说叙军使用了S-300防空系统。目前，在叙部署有3个营的S-300防空系统，每个营配备8具发射装置。叙军还装备苏联产的S-125、S-200、“黄蜂”等防空系统。俄军在叙利亚还部署有两个营的S-400防空系统，主要用于保护俄罗斯在叙的军事基地。,俄罗斯,40套“铠甲”弹炮合一防空系统
3924,【环球时报综合报道】当地时间周一凌晨，叙利亚大马士革附近再次传出爆炸声。以色列军方此次毫不讳言对叙利亚境内目标进行了空袭，而叙利亚方面则宣称击落大部分来袭导弹。分析指出，这可能是俄罗斯向叙利亚方面交付S-300后，以方对叙利亚发动的最大规模空袭。那么，叙以双方，谁是这次行动的胜利者？S-300又扮演了什么角色呢？,俄罗斯,S-300
3925,英国BBC网站21日报道称，以色列军方表示已开始袭击位于叙利亚的伊朗目标。以色列国防军表示，其行动是针对伊朗革命卫队的精锐部队——圣城部队。叙利亚媒体称，防空部队已击退“以色列空袭”。,以色列军方,叙利亚的伊朗目标
3927,BBC报道称，总部位于英国的叙利亚人权观察组织（SOHR）表示，以色列的导弹瞄准了 “首都大马士革附近”。大马士革的目击者声称听到夜空中巨大的爆炸声。SOHR后来说，以色列导弹摧毁了属于伊朗的武器库和军事哨所以及伊朗支持的真主党武装。,以色列导弹,伊朗的武器库和军事哨所
3928,以色列国家新闻网站20日报道称，在周日早些时候，叙利亚方面宣称击退以色列针对大马士革东南一处机场设施的攻击。据称，当时以色列罕见地在白天出动4架F-16战机，而叙利亚方面则使用了“铠甲”防空系统和“山毛榉”中程防空系统，击落7枚来袭导弹。,以色列,4架F-16战机
